y_test,y_new
0,-1.1428571428571428
-4,-5.142857142857143
-8,-4.363636363636363
-4,-5.6
-4,-5.333333333333333
0,-4.0
-8,-4.0
-4,-3.3333333333333335
4,3.2
4,-1.6
-8,-11.2
8,2.857142857142857
4,0.0
0,-0.5
-20,-12.571428571428571
0,2.0
4,3.2
-4,-5.6
4,3.111111111111111
4,-1.6
8,6.857142857142857
-8,-10.0
-4,-2.2857142857142856
0,3.3333333333333335
4,2.5
4,-4.0
0,-0.4
0,-4.0
8,2.857142857142857
0,2.5
4,2.4
-4,-1.3333333333333333
-4,-5.333333333333333
-8,-7.555555555555555
0,2.0
-8,-3.2
-8,-2.0
0,-2.857142857142857
12,10.0
-8,-6.666666666666667
8,10.4
8,1.1428571428571428
-8,-9.6
-4,-0.5714285714285714
-16,-11.333333333333334
8,3.111111111111111
0,-1.7777777777777777
8,6.666666666666667
8,5.333333333333333
-8,-8.666666666666666
4,3.3333333333333335
8,17.6
4,0.5
-8,-5.6
4,0.0
8,6.0
4,0.4444444444444444
4,1.0
4,2.4
-4,-4.8
8,2.5
4,0.6666666666666666
0,1.1428571428571428
-4,-5.0
-8,-7.333333333333333
-8,-7.428571428571429
4,4.666666666666667
12,7.333333333333333
-4,-6.4
0,3.0
-4,0.0
0,0.0
4,7.0
0,5.777777777777778
4,5.6
0,1.6
-8,-9.333333333333334
4,6.5
0,-0.8
4,6.0
12,6.222222222222222
0,1.1428571428571428
0,1.6
8,12.0
-12,-8.8
0,5.6
0,0.8
4,4.8
4,3.3333333333333335
-4,-7.2
0,2.4
4,4.0
0,6.5
-12,-8.0
-4,-7.2
8,8.0
4,2.2222222222222223
-4,0.0
4,8.444444444444445
4,1.6
0,-2.2857142857142856
-4,3.2
-4,1.7142857142857142
0,0.5
-4,-2.6666666666666665
-4,-4.0
-16,-9.333333333333334
0,-1.3333333333333333
4,4.0
12,6.4
4,7.111111111111111
0,4.0
0,-0.5
-8,-4.0
-4,-4.571428571428571
-8,-5.333333333333333
0,0.8888888888888888
0,4.666666666666667
8,5.6
0,0.0
0,4.0
4,0.0
4,6.857142857142857
-4,1.3333333333333333
4,0.0
8,1.3333333333333333
0,0.8
-8,-8.0
0,-4.8
-12,-7.2
-8,-11.2
4,2.857142857142857
8,11.428571428571429
0,0.0
4,1.0
0,-1.3333333333333333
-4,0.0
-4,-2.4
-4,-5.6
-8,-9.142857142857142
0,4.0
-4,-5.6
0,5.6
8,5.6
0,-0.5714285714285714
4,0.8
0,-1.1428571428571428
-12,-15.333333333333334
4,-4.0
-4,-0.4444444444444444
4,1.3333333333333333
0,-8.0
-4,-3.111111111111111
-20,-14.5
4,-2.4
0,-2.5
0,1.3333333333333333
4,0.0
4,3.6666666666666665
0,1.0
-8,-5.2
0,0.0
4,1.7142857142857142
8,12.666666666666666
-8,-8.666666666666666
-4,2.0
4,2.0
16,4.571428571428571
0,-3.5555555555555554
0,-1.6
4,1.3333333333333333
4,1.0
-4,-0.4444444444444444
4,5.5
0,0.4444444444444444
0,-0.4444444444444444
4,4.444444444444445
4,2.0
-4,-0.6666666666666666
8,4.0
0,-0.6666666666666666
-8,-4.444444444444445
0,-4.0
