y_test,y_new
-12,-13.714285714285714
12,12.8
-20,-7.2
8,8.666666666666666
0,-4.8
-32,-24.363636363636363
8,12.8
12,6.0
-8,-10.461538461538462
16,6.0
0,3.5555555555555554
0,-0.8888888888888888
-8,-10.461538461538462
24,25.91304347826087
-16,-17.714285714285715
-32,-24.363636363636363
-8,-10.461538461538462
4,3.5555555555555554
-4,-10.0
20,25.91304347826087
8,25.91304347826087
-24,-24.4
-20,-24.4
-16,-17.714285714285715
-32,-24.4
-16,-17.714285714285715
-16,-17.714285714285715
-24,-7.2
16,25.91304347826087
12,8.666666666666666
-20,-17.714285714285715
32,25.91304347826087
-24,6.0
4,6.0
32,30.857142857142858
-24,-10.0
-12,-10.461538461538462
-12,-10.0
-20,-24.4
-20,-24.363636363636363
-32,-24.4
-32,-24.363636363636363
-16,-17.714285714285715
-16,-17.714285714285715
-20,-24.4
-16,-17.714285714285715
12,12.8
12,17.142857142857142
-32,-24.4
-8,-5.777777777777778
-20,-24.4
-12,-10.461538461538462
8,7.2
24,-13.333333333333334
0,-2.4
20,25.91304347826087
0,-4.8
8,25.91304347826087
32,30.857142857142858
32,30.857142857142858
24,25.91304347826087
-16,-17.714285714285715
-32,-24.4
0,-0.8888888888888888
32,30.857142857142858
-4,-4.8
8,5.142857142857143
20,25.91304347826087
20,17.142857142857142
16,17.142857142857142
0,-0.8888888888888888
24,30.857142857142858
-8,-10.461538461538462
-32,-24.4
24,25.91304347826087
-16,-17.714285714285715
-24,-24.4
-16,-10.0
8,12.666666666666666
-12,-5.777777777777778
-32,-24.4
-8,-10.461538461538462
16,18.5
12,12.666666666666666
20,14.4
4,3.5555555555555554
-8,-10.461538461538462
4,6.0
-24,-24.363636363636363
-20,-17.714285714285715
